""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"
"vOTU_12870"	18360.0617306336	7.74883081903081	1.01292589683222	7.64994837555656	2.01060014665533e-14	2.27868016620938e-13	"Loabvirae"	"Hofneiviricota"	"Faserviricetes"	"Tubulavirales"	"Livviridae"
"vOTU_129286"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC7"	"??-crassviridae"
"vOTU_13039"	15.9300166933268	5.54983768578837	3.21330071183547	1.72714544435471	0.0841415458085463	0.114432502299623	"Loabvirae"	"Hofneiviricota"	"Faserviricetes"	"Tubulavirales"	"Ottoviridae"
"vOTU_130792"	1.84986477540324	-5.73483062789923	4.40739738812844	-1.30118301638656	0.19319581718648	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC2"	"Liamviridae"
"vOTU_1309"	14445.2262661458	12.3457142510467	1.45506025317694	8.4846756167598	2.16321335497916e-17	7.35492540692916e-16	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC9"	"Lauraviridae"
"vOTU_131340"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Crassvirales"	"Milleviridae"
"vOTU_131400"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC2"	"Salasmaviridae"
"vOTU_133564"	0.488298207633529	0.533295950268909	4.45322333735324	0.119755042554383	0.904677196402775	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC5"	"Malouviridae"
"vOTU_13426"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC3"	"Ulrikviridae"
"vOTU_136270"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Smillaviridae"
"vOTU_1377"	289.320881323962	9.73179791181134	2.7736495588589	3.50866167671704	0.00045036740834563	0.000957030742734464	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC5"	"Stellaviridae"
"vOTU_141797"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC2"	"Solviridae"
"vOTU_143128"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Crassvirales"	"Hansviridae"
"vOTU_143131"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC2"	"Augustviridae"
"vOTU_14340"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC7"	"Filucaviridae"
"vOTU_146023"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Andreaviridae"
"vOTU_149"	4.67186130393624	-0.742283974822843	2.44162681838443	-0.304012050176445	0.761118710689415	0.78418291404364	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC3"	"Simoneviridae"
"vOTU_15405"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Kristofferviridae"
"vOTU_16507"	23213.9157369804	3.622616966546	1.15184930107721	3.14504420253425	0.00166061737216226	0.00313672170297316	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Jeppeviridae"
"vOTU_16805"	1068.68841787772	7.84805218749632	1.73954513487125	4.51155421619869	0.00000643543290055055	0.0000312578169455312	"Loabvirae"	"Hofneiviricota"	"Faserviricetes"	"Tubulavirales"	"Morganviridae"
"vOTU_1690"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC3"	"Ingridviridae"
